time_of_sample,route,vehicle,stop_gtfs_sequence
2017-11-10T03:13:40Z,MTABC_Q10,5383,"1, 2, 3, 4, 5, 6, 7, 8, 9"
2017-11-10T03:13:46Z,MTA NYCT_BX36,7698,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
2017-11-10T03:13:46Z,MTA NYCT_BX1,5673,1
2017-11-10T03:13:47Z,MTA NYCT_B6,7174,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:47Z,MTA NYCT_M15,5889,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:47Z,MTA NYCT_Q46,8055,"1, 2, 3, 4, 5, 6"
2017-11-10T03:13:47Z,MTA NYCT_X1,2607,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:47Z,MTA NYCT_BX36,7817,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:47Z,MTABC_Q100,7472,"1, 2"
2017-11-10T03:13:48Z,MTABC_Q60,3672,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:48Z,MTA NYCT_B6,7171,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:48Z,MTA NYCT_B63,762,"1, 2, 3, 4, 5, 6, 7, 8"
2017-11-10T03:13:48Z,MTA NYCT_Q54,6543,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:48Z,MTA NYCT_BX1,4747,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:48Z,MTA NYCT_BX1,1209,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:48Z,MTA NYCT_S54,8208,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21"
2017-11-10T03:13:48Z,MTA NYCT_B6,4888,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:49Z,MTABC_Q10,5367,1
2017-11-10T03:13:49Z,MTABC_Q10,5374,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:49Z,MTA NYCT_B63,351,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:49Z,MTA NYCT_BX2,5519,"2, 3, 4"
2017-11-10T03:13:49Z,MTA NYCT_M101,6079,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:49Z,MTA NYCT_M116,6650,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17"
2017-11-10T03:13:49Z,MTA NYCT_M15,5888,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:49Z,MTA NYCT_Q46,6474,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16"
2017-11-10T03:13:49Z,MTA NYCT_Q55,6560,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
2017-11-10T03:13:50Z,MTA NYCT_M15,5268,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:50Z,MTA NYCT_B1,4873,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:50Z,MTABC_BXM1,3082,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17"
2017-11-10T03:13:51Z,MTA NYCT_X1,2598,"1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
2017-11-10T03:13:51Z,MTA NYCT_B1,4871,"1, 2, 3, 4, 5, 6, 7, 8, 9"
2017-11-10T03:13:51Z,MTA NYCT_BX36,7701,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:52Z,MTA NYCT_B13,7238,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:52Z,MTA NYCT_M5,6654,"1, 2, 3"
2017-11-10T03:13:52Z,MTA NYCT_Q54,7256,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
2017-11-10T03:13:52Z,MTA NYCT_Q58,7286,"1, 2, 3"
2017-11-10T03:13:52Z,MTA NYCT_BX2,5787,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
2017-11-10T03:13:53Z,MTABC_Q110,3782,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
2017-11-10T03:13:53Z,MTA NYCT_M55,3932,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:53Z,MTA NYCT_Q46,4700,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
2017-11-10T03:13:53Z,MTA NYCT_Q46,8482,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
2017-11-10T03:13:53Z,MTA NYCT_Q58,7273,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
2017-11-10T03:13:53Z,MTA NYCT_X1,2674,"1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
2017-11-10T03:13:53Z,MTA NYCT_X1,2763,2
2017-11-10T03:13:53Z,MTA NYCT_BX2,5818,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
