distance_along_trip,n
3.6407e-4,39
0.00692675,40
0.00832503,60
0.01001595,80
0.01222955,40
0.01935953,78
0.0203126,40
0.02105213,20
0.02713938,180
0.02751398,12
0.02797945,332
0.03556815,20
0.03655888,7
0.04684696,60
0.04853424,88
0.05570151,40
0.06206799,29
0.06486519,160
0.07461302,40
0.09801972,20
0.12204352,80
0.13734129,76
0.14540976,19
0.16477823,39
0.17988332,20
0.20146471,14
1.63200021,57
2.13524928,20
2.1354135,28
2.31393934,16
2.32437755,20
2.69778714,17
2.9138588,19
2.9812144,20
3.04516284,20
3.05749209,20
3.11814281,100
3.17193972,32
3.18366105,64
3.18959894,14
3.20801946,20
3.22148755,38
3.23521951,20
3.24418303,80
3.26400041,54
3.40753149,80
3.42869392,18
3.4582087,20
3.65189637,40
3.7389107,20
3.75788459,40
3.85110387,129
3.92086683,120
3.94268719,114
4.05334175,16
4.08726899,20
4.11954423,20
4.12288122,57
4.13239063,20
4.18564369,12
4.18637807,57
4.26182205,20
4.27049857,40
4.3024261600000004,20
4.36341912,200
4.37496436,100
4.42280765,80
4.5692727,20
4.64249028,40
4.71585934,14
4.71730322,20
4.79379379,15
4.79942206,40
4.89600062,51
5.09780434,40
5.1322951,120
5.14667903,20
5.3780327,20
5.47242718,20
5.57755587,20
5.59991084,20
5.62272686,20
5.6419035300000004,20
5.65389704,38
5.74508938,20
5.78246907,18
6.11498419,20
6.14362022,80
6.17142043,20
6.17773318,41
6.21495253,34
6.27196273,20
6.32235292,20
6.34626997,18
6.34861026,20
6.40574785,60
6.48836605,40
6.52063677,60
6.52800082,32
6.5629147,100
6.64870924,16
6.71829723,20
6.74446951,20
6.80283344,20
6.83819199,40
6.9164174,80
6.98856264,16
7.09035854,39
7.16098816,20
7.21133752,20
7.21383095,20
7.23940637,15
7.51576918,110
7.56951452,20
7.64898527,15
7.70220774,72
7.79319942,40
7.86432225,38
8.09336143,20
8.12422313,40
8.15696024,40
8.16000103,38
8.17591231,120
8.18971097,20
8.23908846,60
8.25513493,20
8.274877,9
8.30487517,20
8.31732394,20
8.3627402,19
8.36663395,20
8.37922363,20
8.38286216,46
8.41570806,20
8.44903108,40
8.54099713,20
8.55473754,19
8.58011048,38
8.67830401,20
8.75715118,20
9.0117929,12
9.02976959,20
9.11545663,20
9.12776103,57
9.13854541,80
9.14917909,80
9.16586742,14
9.17178612,20
9.17247628,20
9.22469805,20
9.25472312,120
9.43171869,16
9.46479584,99
9.50887888,18
9.79200124,19
9.81632368,137
9.8336029,20
9.91278147,17
9.93117531,20
9.97108365,73
10.11670427,20
10.13283161,36
10.2054176,6
10.24000994,40
10.24329826,20
10.24759218,20
10.29335807,40
10.61473836,20
10.67624641,80
10.9556891,20
11.05709202,4
11.17082995,18
11.24545373,20
11.36089995,56
11.40398509,20
11.42400144,37
11.49017875,40
11.50187769,20
11.5533116,54
11.56969669,20
11.58140654,20
11.72779994,20
11.7859573,19
11.9827966,93
12.22904815,20
12.22996838,20
12.24987874,20
12.27797567,20
12.35863269,20
12.51678608,40
12.6362401,80
12.80149507,60
12.92009779,20
12.99318889,20
13.02666288,20
13.08526834,20
