measured_t,predicted_t,report_datetime,stop_gtfs_seq,route,measured_t,predicted_t,report_datetime,stop_gtfs_seq,route
0,15,2017-11-10T03:13:47Z,1,MTA NYCT_M15,0,15,2017-11-10T03:13:47Z,1,MTA NYCT_M15
30,44,2017-11-10T03:13:46Z,1,MTA NYCT_BX1,0,10,2017-11-10T03:13:49Z,1,MTA NYCT_B13
32,46,2017-11-10T03:13:47Z,1,MTA NYCT_B6,0,7,2017-11-10T03:13:48Z,1,MTA NYCT_BX1
21,7,2017-11-10T03:13:47Z,1,MTA NYCT_X1,0,4,2017-11-10T03:13:49Z,1,MTA NYCT_BX2
0,10,2017-11-10T03:13:49Z,1,MTA NYCT_B13,0,18,2017-11-10T03:13:50Z,1,MTA NYCT_M15
32,45,2017-11-10T03:13:48Z,1,MTA NYCT_B6,0,0,2017-11-10T03:13:53Z,1,MTA NYCT_X1
9,14,2017-11-10T03:13:48Z,1,MTA NYCT_Q54,0,1,2017-11-10T03:13:54Z,1,MTA NYCT_Q54
31,55,2017-11-10T03:13:48Z,1,MTA NYCT_B63,0,19,2017-11-10T03:13:55Z,1,MTA NYCT_Q55
74,48,2017-11-10T03:13:49Z,1,MTA NYCT_Q46,0,112,2017-11-10T03:13:53Z,1,MTA NYCT_B36
21,27,2017-11-10T03:13:49Z,1,MTA NYCT_M116,0,3,2017-11-10T03:13:57Z,1,MTA NYCT_Q58
31,35,2017-11-10T03:13:46Z,1,MTA NYCT_BX36,0,9,2017-11-10T03:13:57Z,1,MTA NYCT_B6
31,47,2017-11-10T03:13:47Z,1,MTA NYCT_BX36,0,8,2017-11-10T03:13:56Z,1,MTA NYCT_Q58
14,32,2017-11-10T03:13:49Z,1,MTA NYCT_M101,0,5,2017-11-10T03:13:59Z,1,MTA NYCT_Q88
64,41,2017-11-10T03:13:40Z,1,MTABC_Q10,0,6,2017-11-10T03:13:58Z,1,MTA NYCT_B6
21,11,2017-11-10T03:13:49Z,1,MTABC_Q10,0,2,2017-11-10T03:14:00Z,1,MTABC_Q25
31,28,2017-11-10T03:13:48Z,1,MTA NYCT_BX1,0,0,2017-11-10T03:13:59Z,1,MTABC_Q10
